logged_name,current_catalog_name,current_catalog_id,external_source,external_id,muscle_group,equipment,movement_pattern,set_rows,completed_sets,user_count,first_logged,last_logged,new_exercise_id,new_exercise_name
B2 KB Swings,null,null,null,null,null,null,null,9,9,2,2026-07-01,2026-07-06,,
Barbell Bench Squat,Barbell Bench Squat,e3d91088-db72-4f74-9a34-d1ec1cbac71f,exercisedb,W9pFVv1,Quads,barbell,squat,9,8,1,2026-08-31,2026-09-14,,
Bent Over Barbell Row,Bent Over Barbell Row,85d71483-841d-4ca9-9830-8c249835a0d3,free_exercise_db,Bent_Over_Barbell_Row,Mid Back,barbell,pull_horizontal,9,9,1,2026-08-31,2026-09-14,,
Chest Press,null,null,null,null,null,null,null,9,9,2,2026-07-03,2026-07-03,,
Dumbbell Alternate Biceps Curl,Dumbbell Alternate Biceps Curl,3847341f-a980-4cbb-943e-90e04a19db51,exercisedb,BU15nH4,Biceps,dumbbell,isolation,9,9,1,2026-08-31,2026-09-14,,
Kettlebell V-Up,Kettlebell V-Up,b179d51d-f07a-43b1-b885-3a8d4f6c7132,null,null,Core,Kettlebell,null,9,9,2,2026-08-14,2026-09-17,,
Machine bench press,Machine bench press,1dee316c-a7f9-4f9d-befa-1c4e9b89967e,null,null,Pectoral,Bench press Machine,null,9,9,2,2026-08-12,2026-08-26,,
Scap Push-ups,Scap Push-ups,4102523a-b36f-48e3-a335-83764cb2bb2f,null,null,Chest,bodyweight,isolation,9,9,2,2026-07-07,2026-07-22,,
Standing Calf Raises,Standing Calf Raises,be663b1a-8250-478a-8c5f-49ab22d7b113,free_exercise_db,Standing_Calf_Raises,Calves,machine,isolation,9,9,2,2026-07-27,2026-08-03,,
Walking Dumbell Lunges,null,null,null,null,null,null,null,9,9,2,2026-07-01,2026-07-10,,
B2 Hanging Knee Raises,null,null,null,null,null,null,null,8,8,2,2026-07-01,2026-07-06,,
Db Row,null,null,null,null,null,null,null,8,8,2,2026-07-03,2026-07-03,,
Leg Press,null,null,null,null,null,null,null,8,8,2,2026-07-06,2026-07-06,,
Thoracic Rotations,Thoracic Rotations,fbf089d8-57ec-4d0d-ab99-1b7aae45b996,null,null,Mid-Back,,null,7,7,2,2026-07-07,2026-07-15,,
A1 hamstring curl,null,null,null,null,null,null,null,6,6,2,2026-07-03,2026-07-06,,
A2 Calf Raise,null,null,null,null,null,null,null,6,6,2,2026-07-06,2026-07-06,,
Advanced Kettlebell Windmill,Advanced Kettlebell Windmill,0995595e-6fb9-4955-89c2-30f85da775a2,free_exercise_db,Advanced_Kettlebell_Windmill,Core,kettlebells,isolation,6,4,2,2026-08-10,2026-08-17,,
Alternate Heel Touchers,Alternate Heel Touchers,ac4ceeb6-38bd-453e-b846-9244100be757,exercisedb,qaZVsGk,Core,bodyweight,null,6,6,2,2026-08-14,2026-08-28,,
Assisted Pull-up,Assisted Pull-up,759dabc6-53e8-466f-8f3b-fc7ba3dc2b98,exercisedb,kiJ4Z2K,Lats,machine,pull_vertical,6,6,1,2026-09-11,2026-09-18,,
Barbell Bench Press,Barbell Bench Press,a8199579-45b5-4261-a3c2-47f9f4ca9b89,exercisedb,EIeI8Vf,Pectorals,barbell,push_horizontal,6,6,2,2026-09-09,2026-09-09,,
Cable Curl,Cable Curl,6edb85a4-b848-410c-844a-baad46f9bb27,null,null,Bicep,Cable Machine,null,6,6,2,2026-08-05,2026-08-05,,
Cable Tricep Pushdown,Cable Tricep Pushdown,6b6483b9-6ce2-4207-af9d-0473d8185049,null,null,Tricep,Cable Machine,null,6,6,2,2026-08-05,2026-08-05,,
Close-Grip Front Lat Pulldown,Close-Grip Front Lat Pulldown,869e663a-f365-48a7-829b-5106355f413c,free_exercise_db,Close-Grip_Front_Lat_Pulldown,Lats,cable,pull_vertical,6,6,2,2026-09-09,2026-09-09,,
Dumbbell Bent Over Row,Dumbbell Bent Over Row,591ba0b9-9cc9-452d-b483-54ae10a04e0c,exercisedb,BJ0Hz5L,Upper Back,dumbbell,pull_horizontal,6,6,2,2026-09-09,2026-09-09,,
Dumbbell Sumo Pull Through,Dumbbell Sumo Pull Through,ab99cac0-8cd9-4e6a-8ef8-5d92bd642c02,exercisedb,BmrwWzo,Glutes,dumbbell,pull_horizontal,6,5,2,2026-09-14,2026-09-14,,
Hammer Curls,Hammer Curls,115e99ec-ecc6-4dfd-b9fd-4d820ea72636,free_exercise_db,Hammer_Curls,Biceps,dumbbell,isolation,6,6,2,2026-09-14,2026-09-14,,
Hyperextension,Hyperextension,a117d9a8-1a5c-43bc-9c1c-8fbf996a346b,exercisedb,zhMwOwE,Back,bodyweight,isolation,6,6,2,2026-09-18,2026-09-19,,
One-Arm Dumbbell Row,One-Arm Dumbbell Row,b4271b77-54ae-41cd-9ca2-da28e8273d82,free_exercise_db,One-Arm_Dumbbell_Row,Mid Back,dumbbell,pull_horizontal,6,6,2,2026-07-09,2026-07-10,,
Rear delt dumbbell fly,Rear delt dumbbell fly,1e2c31ba-98ee-4191-96ab-d4f128a63996,null,null,Deltoid,null,null,6,6,2,2026-09-14,2026-09-14,,
Romanian Deadlift,Romanian Deadlift,a15b2fa0-3f61-4a30-a2af-166ebc095fe3,null,null,Hamstrings,barbell,hinge,6,6,2,2026-07-09,2026-08-07,,
Squat plate front raise,Squat plate front raise,b36e5401-7c5a-48d1-97b6-d436d2a03d34,null,null,Legs and shoulders,null,null,6,6,2,2026-09-18,2026-09-19,,
